iter	RMSE
0	2.427093553
1	2.420918996
2	2.41668117
3	2.414303934
4	2.409000289
5	2.405057418
6	2.401124444
7	2.39704899
8	2.393566418
9	2.39270492
10	2.388891328
11	2.384659649
12	2.381222403
13	2.377973204
14	2.375963367
15	2.373001275
16	2.370339458
17	2.369089255
18	2.366628746
19	2.365402891
20	2.363134753
21	2.360608712
22	2.359299591
23	2.357381761
24	2.357381761
25	2.355039364
26	2.352781651
27	2.349177536
28	2.347346079
29	2.344377754
30	2.341756246
31	2.340742676
32	2.340172375
33	2.338088702
34	2.338088702
35	2.336174175
36	2.335273778
37	2.334151124
38	2.333850206
39	2.331628139
40	2.330637133
41	2.329369793
42	2.329125886
43	2.328671441
44	2.328671441
45	2.32759942
46	2.326242169
47	2.324594633
48	2.323536011
49	2.323343861
50	2.322317713
51	2.320717372
52	2.320505069
53	2.319064082
54	2.317979062
55	2.317008097
56	2.316472548
57	2.315329088
58	2.314677523
59	2.313785378
60	2.312886776
61	2.312331064
62	2.311706085
63	2.311407907
64	2.310988603
65	2.310287089
66	2.309802374
67	2.309485843
68	2.308882065
69	2.307916271
70	2.307774888
71	2.307319297
72	2.306897942
73	2.306226892
74	2.305921771
75	2.305495326
76	2.304738293
77	2.304358611
78	2.303489259
79	2.303301663
80	2.302614251
81	2.302279099
82	2.301943931
83	2.301443801
84	2.301182314
85	2.300963318
86	2.300577801
87	2.300226425
88	2.299848756
89	2.299503976
90	2.299141729
91	2.298919432
92	2.298242118
93	2.297802795
94	2.297703348
95	2.296786678
96	2.296662276
97	2.296370965
98	2.296207615
99	2.295941747
100	2.29555261
101	2.295424755
102	2.294978917
103	2.294843842
104	2.294375939
105	2.293876875
106	2.293869446
107	2.293567383
108	2.293301679
109	2.293159649
110	2.293016083
111	2.292890225
112	2.292285123
113	2.291776936
114	2.291445028
115	2.291204919
116	2.29113908
117	2.29113908
118	2.290961146
119	2.290565113
120	2.290462736
121	2.290459485
122	2.290034734
123	2.28985082
124	2.289665207
125	2.289658382
126	2.289483172
127	2.289482911
128	2.28945576
129	2.28944185
130	2.289337855
131	2.289145066
132	2.288870058
133	2.288597832
134	2.288535389
135	2.288445595
136	2.288297166
137	2.288257628
138	2.28814374
139	2.288058503
140	2.287940821
141	2.287662469
142	2.287598643
143	2.287557682
144	2.287443012
145	2.287077491
146	2.286959671
147	2.286803749
148	2.286681148
149	2.286510336
150	2.286280963
151	2.286107776
152	2.285808761
153	2.285696477
154	2.285308623
155	2.285230765
156	2.285086701
157	2.285085072
158	2.285025245
159	2.285008112
160	2.284921743
161	2.284661886
162	2.284502164
163	2.284381466
164	2.284188554
165	2.284123104
166	2.284028492
167	2.284003015
168	2.28355661
169	2.283353872
170	2.283335536
171	2.283280623
172	2.283247789
173	2.283082038
174	2.282882273
175	2.282681098
176	2.282679023
177	2.282579259
178	2.282572791
179	2.282512778
180	2.282124007
181	2.281973635
182	2.281775341
183	2.281625302
184	2.281510202
185	2.281509946
186	2.281376326
187	2.281154404
188	2.281039026
189	2.281034129
190	2.280929584
191	2.280841579
192	2.280681826
193	2.280566353
194	2.280566291
195	2.280529388
196	2.280529382
197	2.280529382
198	2.28038956
199	2.280388403
200	2.280253881
201	2.280170584
202	2.280123042
203	2.27995431
204	2.279854494
205	2.279746072
206	2.279713666
207	2.279660483
208	2.279570861
209	2.279489826
210	2.279464255
211	2.27936241
212	2.279192495
213	2.279192495
214	2.279185229
215	2.279024584
216	2.278970511
217	2.278878462
218	2.278841321
219	2.27878069
220	2.278718416
221	2.27866174
222	2.278621135
223	2.278544615
224	2.278544615
225	2.278502406
226	2.278464478
227	2.278428013
228	2.278428013
229	2.278422347
230	2.278309335
231	2.278309335
232	2.278266417
233	2.278099525
234	2.278035601
235	2.278035601
236	2.277926166
237	2.277868149
238	2.277693239
239	2.277635695
240	2.277540523
241	2.277460596
242	2.277385088
243	2.277273908
244	2.277052412
245	2.276982091
246	2.276879105
247	2.276863023
248	2.276849868
249	2.276835258
250	2.276125263
251	2.27605085
252	2.275952201
253	2.275793772
254	2.275641657
255	2.275617152
256	2.27559707
257	2.27558371
258	2.275477569
259	2.275415987
260	2.275380164
261	2.275185316
262	2.275071426
263	2.274976231
264	2.274858448
265	2.274735749
266	2.274734856
267	2.274713746
268	2.274661968
269	2.274556625
270	2.274533478
271	2.274495432
272	2.274345813
273	2.274327809
274	2.274252269
275	2.274162314
276	2.274089908
277	2.273906805
278	2.273698798
279	2.2736649
280	2.273534189
281	2.273533843
282	2.273301888
283	2.273090664
284	2.273088534
285	2.273074497
286	2.272954228
287	2.272950696
288	2.272852421
289	2.272467947
290	2.272338085
291	2.272176608
292	2.272152547
293	2.272057645
294	2.271856997
295	2.271797102
296	2.27170329
297	2.27170329
298	2.271589544
299	2.271136839
300	2.270681226
301	2.270348949
302	2.270135476
303	2.270035996
304	2.269803628
305	2.26970926
306	2.269544407
307	2.269258603
308	2.268783613
309	2.268623729
310	2.268469066
311	2.268283131
312	2.26751395
313	2.267303701
314	2.267046501
315	2.266536737
316	2.266242698
317	2.26577458
318	2.265426361
319	2.265354001
320	2.26516768
321	2.264870529
322	2.264514933
323	2.264317524
324	2.264124174
325	2.263730737
326	2.263557488
327	2.263392996
328	2.263259567
329	2.262881583
330	2.262474773
331	2.262346677
332	2.262025568
333	2.261697341
334	2.261537155
335	2.261318079
336	2.261127365
337	2.260721551
338	2.260528453
339	2.260338251
340	2.260200336
341	2.259829515
342	2.259558937
343	2.259338617
344	2.259176144
345	2.258859824
346	2.258423547
347	2.258268177
348	2.258077904
349	2.257730759
350	2.257372737
351	2.257198005
352	2.25689449
353	2.256741191
354	2.25660058
355	2.256450375
356	2.256162786
357	2.256027182
358	2.25573547
359	2.255610485
360	2.255493754
361	2.255285825
362	2.254959308
363	2.254787404
364	2.254612711
365	2.254438497
366	2.254234305
367	2.253876734
368	2.253679237
369	2.253525048
370	2.253374224
371	2.253231104
372	2.25306291
373	2.252870064
374	2.252681748
375	2.252471237
376	2.25227205
377	2.252123432
378	2.251830179
379	2.251604752
380	2.251330997
381	2.251191876
382	2.250907144
383	2.25079474
384	2.250582907
385	2.250364678
386	2.250191971
387	2.250068416
388	2.249977691
389	2.249727582
390	2.249587424
391	2.249415293
392	2.249197356
393	2.249098019
394	2.248950795
395	2.248772469
396	2.24865422
397	2.248502627
398	2.248325102
399	2.248215278
400	2.248069517
401	2.247860421
402	2.247643291
403	2.247394644
404	2.247252084
405	2.247064468
406	2.246847686
407	2.246755174
408	2.246598965
409	2.246381201
410	2.246183475
411	2.246096725
412	2.245931197
413	2.245754812
414	2.2456015
415	2.245449272
416	2.245334949
417	2.245226218
418	2.245125256
419	2.245020329
420	2.244786258
421	2.244703892
422	2.244554195
423	2.244378624
424	2.244247481
425	2.244144915
426	2.244049765
427	2.243928112
428	2.243789897
429	2.243721972
430	2.243531021
431	2.243380264
432	2.243127645
433	2.243049477
434	2.24289741
435	2.242737687
436	2.242614951
437	2.242441055
438	2.242258756
439	2.24212574
440	2.242020175
441	2.241858873
442	2.241695312
443	2.241587936
444	2.241508697
445	2.241333685
446	2.24118922
447	2.240992375
448	2.240840511
449	2.240772268
450	2.240573778
451	2.240492778
452	2.2404046
453	2.240283386
454	2.240106473
455	2.240025715
456	2.239929286
457	2.23985064
458	2.239737754
459	2.239656958
460	2.239545874
461	2.239447236
462	2.239329058
463	2.239129751
464	2.238999022
465	2.238892418
466	2.238771331
467	2.238664241
468	2.238516354
469	2.238378827
470	2.238326932
471	2.238238728
472	2.23804817
473	2.237913006
474	2.237815336
475	2.237704803
476	2.237610831
477	2.237506585
478	2.237435612
479	2.237287019
480	2.237173888
481	2.237079002
482	2.236910433
483	2.236786034
484	2.236666593
485	2.236430029
486	2.236268288
487	2.236173175
488	2.236095591
489	2.235946451
490	2.235834105
491	2.235733114
492	2.235645746
493	2.235569072
494	2.235473763
495	2.235380072
496	2.235249391
497	2.235178384
498	2.23506223
499	2.234957155
500	2.23490574
501	2.234819031
502	2.234729539
503	2.234676229
504	2.234581559
505	2.234520987
506	2.234437075
507	2.234347199
508	2.234256877
509	2.234185861
510	2.234078191
511	2.233996057
512	2.233843875
513	2.233704792
514	2.233629652
515	2.233566786
516	2.233449705
517	2.233366586
518	2.233286896
519	2.233135214
520	2.233063445
521	2.232961095
522	2.232885123
523	2.232799801
524	2.232700716
525	2.23259825
526	2.232534383
527	2.232458371
528	2.23240944
529	2.232289791
530	2.232168045
531	2.232111508
532	2.231994924
533	2.231839276
534	2.231783666
535	2.231694621
536	2.231606114
537	2.231511126
538	2.231420071
539	2.231340119
540	2.231264367
541	2.231157395
542	2.231032755
543	2.230985489
544	2.230914969
545	2.230747521
546	2.230632238
547	2.230546855
548	2.230449151
549	2.230366451
550	2.230293489
551	2.230205806
552	2.230079387
553	2.230038608
554	2.229949918
555	2.229882468
556	2.229835041
557	2.229791894
558	2.229723052
559	2.229602103
560	2.229537312
561	2.229459032
562	2.229372358
563	2.229311996
564	2.229199652
565	2.229138436
566	2.229039327
567	2.228964956
568	2.228912067
569	2.228824429
570	2.228762662
571	2.228630802
572	2.22854965
573	2.228441542
574	2.228328202
575	2.228241803
576	2.228069202
