iter	Passed	Remaining
0	196	270921
1	301	208201
2	388	178620
3	418	144269
4	547	150937
5	694	159451
6	826	162453
7	927	159493
8	1041	159069
9	1125	154503
10	1236	154239
11	1340	153169
12	1461	154006
13	1571	153675
14	1654	150868
15	1742	148867
16	1832	147250
17	1965	149013
18	2052	147368
19	2162	147398
20	2269	147174
21	2358	145906
22	2474	146307
23	2574	145784
24	2587	140557
25	2753	143691
26	2885	144897
27	3020	146179
28	3135	146392
29	3303	148991
30	3406	148573
31	3486	147209
32	3552	145338
33	3638	144360
34	3656	140810
35	3787	141731
36	3905	142093
37	4006	141803
38	4048	139530
39	4189	140670
40	4312	141149
41	4420	141139
42	4453	138768
43	4479	136309
44	4526	134575
45	4628	134539
46	4746	134924
47	4872	135521
48	4986	135752
49	5029	134082
50	5164	134887
51	5295	135555
52	5384	135129
53	5472	134675
54	5609	135437
55	5760	136502
56	5893	137102
57	6110	139600
58	6230	139813
59	6382	140723
60	6545	141844
61	6622	141106
62	6739	141203
63	6811	140382
64	6938	140700
65	7048	140658
66	7164	140718
67	7241	140043
68	7351	139999
69	7470	140118
70	7523	139033
71	7653	139357
72	7761	139277
73	7884	139463
74	7947	138605
75	8040	138283
76	8103	137442
77	8184	136938
78	8286	136780
79	8353	136064
80	8521	136973
81	8649	137235
82	8761	137220
83	8894	137546
84	8994	137353
85	9096	137191
86	9207	137167
87	9308	136980
88	9410	136828
89	9500	136490
90	9593	136208
91	9693	136022
92	9813	136119
93	9926	136125
94	10027	135955
95	10173	136394
96	10266	136106
97	10371	135990
98	10467	135758
99	10553	135406
100	10641	135074
101	10731	134779
102	10817	134430
103	10918	134270
104	11018	134109
105	11118	133943
106	11157	133061
107	11273	133086
108	11315	132261
109	11434	132324
110	11530	132133
111	11652	132231
112	11754	132106
113	11882	132269
114	12021	132548
115	12133	132526
116	12238	132429
117	12253	131358
118	12358	131275
119	12456	131106
120	12557	130974
121	12604	130285
122	12720	130309
123	12826	130227
124	12932	130150
125	12971	129401
126	13063	129199
127	13088	128325
128	13161	127943
129	13207	127303
130	13296	127074
131	13452	127488
132	13600	127828
133	13744	128111
134	13776	127356
135	13856	127051
136	13960	126969
137	14062	126865
138	14173	126843
139	14277	126767
140	14391	126771
141	14484	126588
142	14592	126535
143	14640	125972
144	14744	125887
145	14878	126058
146	14970	125873
147	15075	125802
148	15191	125811
149	15325	125974
150	15428	125882
151	15527	125753
152	15617	125549
153	15700	125294
154	15786	125072
155	15875	124870
156	15957	124609
157	16051	124453
158	16149	124321
159	16225	124026
160	16321	123880
161	16428	123822
162	16528	123710
163	16638	123673
164	16753	123674
165	16864	123639
166	16970	123568
167	17075	123494
168	17236	123818
169	17371	123949
170	17461	123763
171	17574	123739
172	17655	123486
173	17760	123403
174	17890	123497
175	18008	123498
176	18054	123015
177	18173	123031
178	18224	122580
179	18305	122339
180	18414	122287
181	18526	122252
182	18674	122453
183	18775	122344
184	18880	122262
185	18940	121893
186	19047	121822
187	19166	121826
188	19261	121685
189	19342	121453
190	19446	121359
191	19580	121461
192	19680	121346
193	19785	121261
194	19821	120760
195	19930	120703
196	19963	120188
197	19984	119601
198	20100	119590
199	20140	119128
200	20270	119202
201	20368	119082
202	20489	119099
203	20603	119075
204	20672	118788
205	20781	118735
206	20876	118602
207	20985	118550
208	21077	118397
209	21195	118391
210	21287	118242
211	21392	118163
212	21504	118123
213	21519	117555
214	21546	117051
215	21654	116993
216	21752	116880
217	21848	116756
218	21954	116691
219	22069	116666
220	22136	116390
221	22227	116241
222	22329	116155
223	22423	116019
224	22436	115474
225	22539	115390
226	22594	115064
227	22657	114776
228	22676	114273
229	22733	113964
230	22806	113734
231	22830	113267
232	22924	113146
233	23022	113044
234	23126	112973
235	23149	112510
236	23234	112348
237	23340	112290
238	23481	112395
239	23538	112099
240	23633	111991
241	23744	111954
242	23816	111732
243	23915	111636
244	24020	111571
245	24134	111549
246	24259	111576
247	24342	111405
248	24417	111200
249	24509	111077
250	24631	111085
251	24752	111093
252	24846	110975
253	24973	111003
254	25083	110955
255	25165	110786
256	25262	110682
257	25349	110535
258	25468	110527
259	25561	110405
260	25673	110364
261	25806	110418
262	25926	110408
263	26044	110391
264	26137	110271
265	26234	110164
266	26288	109881
267	26376	109737
268	26497	109731
269	26575	109551
270	26658	109388
271	26758	109295
272	26846	109154
273	26952	109087
274	27079	109103
275	27199	109094
276	27302	109010
277	27415	108969
278	27548	109007
279	27641	108888
280	27747	108816
281	27774	108439
282	27921	108528
283	28044	108523
284	28077	108172
285	28135	107916
286	28380	108379
287	28480	108285
288	28612	108311
289	28734	108298
290	28851	108268
291	29042	108511
292	29135	108389
293	29286	108480
294	29349	108246
295	29449	108147
296	29579	108161
297	29601	107778
298	29722	107755
299	29848	107753
300	29961	107702
301	30073	107648
302	30189	107604
303	30288	107505
304	30395	107429
305	30522	107427
306	30653	107437
307	30748	107319
308	30849	107225
309	30973	107209
310	31090	107166
311	31213	107145
312	31317	107058
313	31446	107057
314	31554	106983
315	31686	106991
316	31781	106873
317	31881	106771
318	32009	106764
319	32126	106719
320	32236	106650
321	32351	106600
322	32453	106502
323	32570	106455
324	32662	106330
325	32779	106283
326	32918	106304
327	33046	106293
328	33145	106187
329	33263	106140
330	33378	106083
331	33500	106051
332	33594	105927
333	33713	105884
334	33839	105861
335	33966	105841
336	34089	105810
337	34215	105784
338	34346	105774
339	34449	105678
340	34607	105751
341	34804	105940
342	34942	105947
343	35091	105989
344	35303	106217
345	35465	106295
346	35579	106225
347	35709	106203
348	35869	106270
349	35988	106216
350	36158	106310
351	36295	106308
352	36420	106268
353	36548	106238
354	36677	106208
355	36823	106229
356	36952	106200
357	37072	106142
358	37181	106055
359	37305	106009
360	37405	105896
361	37512	105801
362	37629	105736
363	37743	105660
364	37882	105655
365	38000	105592
366	38145	105602
367	38265	105540
368	38393	105505
369	38550	105545
370	38645	105414
371	38765	105354
372	38868	105246
373	38990	105190
374	39139	105207
375	39333	105342
376	39459	105295
377	39555	105166
378	39686	105132
379	39807	105069
380	39933	105022
381	40043	104931
382	40160	104857
383	40298	104838
384	40407	104744
385	40531	104688
386	40645	104608
387	40761	104529
388	40881	104464
389	41009	104417
390	41109	104297
391	41217	104201
392	41336	104129
393	41453	104055
394	41575	103991
395	41703	103941
396	41821	103870
397	41951	103824
398	42073	103759
399	42199	103704
400	42306	103604
401	42593	103939
402	42820	104128
403	42965	104117
404	43104	104090
405	43200	103957
406	43337	103925
407	43439	103808
408	43554	103720
409	43697	103701
410	43870	103753
411	44015	103735
412	44125	103637
413	44250	103572
414	44385	103529
415	44656	103804
416	44759	103688
417	44884	103619
418	45007	103550
419	45142	103505
420	45268	103440
421	45399	103386
422	45645	103593
423	45770	103522
424	45890	103443
425	46008	103357
426	46116	103248
427	46262	103226
428	46372	103122
429	46499	103056
430	46613	102961
431	46770	102960
432	46881	102858
433	47002	102777
434	47142	102738
435	47262	102655
436	47370	102544
437	47517	102521
438	47634	102430
439	47768	102376
440	47902	102323
441	48053	102303
442	48190	102254
443	48308	102165
444	48439	102104
445	48573	102046
446	48698	101973
447	48800	101848
448	48924	101771
449	49014	101623
450	49167	101605
451	49242	101425
452	49378	101374
453	49479	101248
454	49612	101187
455	49732	101101
456	49858	101025
457	49981	100944
458	50107	100869
459	50248	100825
460	50450	100901
461	50572	100815
462	50698	100740
463	50835	100684
464	50971	100627
465	51100	100555
466	51213	100453
467	51370	100435
468	51471	100308
469	51599	100235
470	51707	100121
471	51833	100043
472	51925	99898
473	52081	99878
474	52218	99819
475	52356	99763
476	52563	99837
